Building_ID,Coordinates,TopView_Image,Building_Height,Building_Type,Width
B001,"12.972575,77.591082",cropped_images/belling.jpg,14,Corporate,11.8
B002,"12.965824,77.604016",cropped_images/bellingha.jpg,39,Corporate,14.3
B003,"12.965839,77.59782",cropped_images/bellingham12.jpg,14,Corporate,11.4
B004,"12.972808,77.595874",cropped_images/bellingham13.jpg,16,Corporate,15.0
B005,"12.961847,77.603257",cropped_images/bellingham14.jpg,29,Corporate,17.7
B006,"12.977429,77.591873",cropped_images/bellingham15.jpg,39,Residential,13.1
B007,"12.980159,77.590382",cropped_images/bellingham16.jpg,38,Corporate,8.6
B008,"12.968648,77.593349",cropped_images/bellingham17.jpg,27,Corporate,17.5
B009,"12.9718,77.591782",cropped_images/bellingham18.jpg,37,Corporate,13.8
B010,"12.97869,77.587105",cropped_images/bellingham19.jpg,22,Corporate,15.8
B011,"12.980277,77.598738",cropped_images/bellingham20.jpg,17,Corporate,10.2
B012,"12.968032,77.589708",cropped_images/bellingham21.jpg,25,Corporate,17.4
B013,"12.96613,77.598708",cropped_images/bellingham22.jpg,32,Corporate,9.5
B014,"12.975581,77.585607",cropped_images/bellingham23.jpg,31,Residential,16.8
B015,"12.971818,77.585089",cropped_images/bellingham24.jpg,19,Corporate,8.8
B016,"12.965912,77.591281",cropped_images/bellingham25.jpg,28,Residential,16.1
B017,"12.968534,77.588165",cropped_images/bellingham26.jpg,12,Corporate,10.0
B018,"12.972982,77.600113",cropped_images/bellingham27.jpg,36,Corporate,13.2
B019,"12.964713,77.600167",cropped_images/bellingham28.jpg,23,Corporate,14.0
B020,"12.97958,77.599406",cropped_images/bellingham29.jpg,15,Residential,9.8
B021,"12.9733,77.587103",cropped_images/bellingham3.jpg,40,Corporate,10.6
B022,"12.971212,77.589899",cropped_images/bellingham30.jpg,25,Residential,16.8
B023,"12.97568,77.600375",cropped_images/bellingham31.jpg,13,Residential,12.1
B024,"12.966608,77.594615",cropped_images/bellingham32.jpg,21,Corporate,12.1
B025,"12.966451,77.592479",cropped_images/bellingham33.jpg,34,Residential,13.9
B026,"12.97306,77.585712",cropped_images/bellingham34.jpg,14,Residential,14.7
B027,"12.964059,77.590065",cropped_images/bellingham35.jpg,13,Residential,10.9
