Building_ID,Coordinates,TopView_Image,Building_Height,Building_Type,Width
B001,"12.972575,77.591082",images/belling.jpg,14,Residential,11.8
B002,"12.965824,77.604016",images/bellingha.jpg,39,Residential,14.3
B003,"12.965839,77.59782",images/bellingham12.jpg,14,Residential,11.4
B004,"12.972808,77.595874",images/bellingham13.jpg,16,Residential,15
B005,"12.961847,77.603257",images/bellingham14.jpg,29,Corporate,17.7
B006,"12.977429,77.591873",images/bellingham15.jpg,39,Residential,13.1
B007,"12.980159,77.590382",images/bellingham16.jpg,38,Residential,8.6
B008,"12.968648,77.593349",images/bellingham17.jpg,27,Corporate,17.5
B009,"12.9718,77.591782",images/bellingham18.jpg,37,Residential,13.8
B010,"12.97869,77.587105",images/bellingham19.jpg,22,Corporate,15.8
B011,"12.980277,77.598738",images/bellingham20.jpg,17,Residential,10.2
B012,"12.968032,77.589708",images/bellingham21.jpg,25,Corporate,17.4
B013,"12.96613,77.598708",images/bellingham22.jpg,32,Residential,9.5
B014,"12.975581,77.585607",images/bellingham23.jpg,31,Corporate,16.8
B015,"12.971818,77.585089",images/bellingham24.jpg,19,Residential,8.8
B016,"12.965912,77.591281",images/bellingham25.jpg,28,Corporate,16.1
B017,"12.968534,77.588165",images/bellingham26.jpg,12,Residential,10
B018,"12.972982,77.600113",images/bellingham27.jpg,36,Residential,13.2
B019,"12.964713,77.600167",images/bellingham28.jpg,23,Residential,14
B020,"12.97958,77.599406",images/bellingham29.jpg,15,Residential,9.8
B021,"12.9733,77.587103",images/bellingham3.jpg,40,Residential,10.6
B022,"12.971212,77.589899",images/bellingham30.jpg,25,Corporate,16.8
B023,"12.97568,77.600375",images/bellingham31.jpg,13,Residential,12.1
B024,"12.966608,77.594615",images/bellingham32.jpg,21,Residential,12.1
B025,"12.966451,77.592479",images/bellingham33.jpg,34,Residential,13.9
B026,"12.97306,77.585712",images/bellingham34.jpg,14,Residential,14.7
B027,"12.964059,77.590065",images/bellingham35.jpg,13,Residential,10.9
B028,"12.96512,77.598259",images/bellingham36.jpg,26,Residential,13.5
B029,"12.975332,77.595724",images/bellingham5.jpg,18,Residential,11.5
B030,"12.966365,77.596969",images/bellingham6.jpg,17,Corporate,15.2
B031,"12.969576,77.584934",images/bellingham7.jpg,35,Corporate,16.4
B032,"12.963018,77.599895",images/bellingham8.jpg,39,Residential,9.7
B033,"12.977512,77.593971",images/bellingham9.jpg,23,Residential,13.4
B034,"12.970271,77.597566",images/bloomington1.jpg,17,Corporate,17
B035,"12.963991,77.58848",images/bloomington10.jpg,24,Residential,13.7
B036,"12.971206,77.602982",images/bloomington11.jpg,29,Residential,15
B037,"12.966927,77.589661",images/bloomington12.jpg,16,Residential,12.7
B038,"12.974112,77.591597",images/bloomington13.jpg,17,Residential,11
B039,"12.981156,77.599563",images/bloomington14.jpg,17,Corporate,16.2
B040,"12.980547,77.594739",images/bloomington15.jpg,14,Residential,9.8
B041,"12.972401,77.594621",images/bloomington16.jpg,16,Residential,12.6
B042,"12.968956,77.595522",images/bloomington17.jpg,27,Corporate,17.8
B043,"12.965234,77.599068",images/bloomington18.jpg,11,Corporate,15.5
B044,"12.977177,77.597006",images/bloomington19.jpg,33,Residential,8.3
B045,"12.968357,77.596016",images/bloomington2.jpg,19,Residential,10.4
B046,"12.96703,77.590461",images/bloomington20.jpg,31,Corporate,16.6
B047,"12.970257,77.585478",images/bloomington21.jpg,13,Residential,12.3
